https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1704351600000,2024-01-04 07:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704348000000,2024-01-04 06:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704344400000,2024-01-04 05:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704340800000,2024-01-04 04:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704337200000,2024-01-04 03:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704333600000,2024-01-04 02:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704330000000,2024-01-04 01:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704326400000,2024-01-04 00:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704322800000,2024-01-03 23:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704319200000,2024-01-03 22:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704315600000,2024-01-03 21:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704312000000,2024-01-03 20:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704308400000,2024-01-03 19:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704304800000,2024-01-03 18:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704301200000,2024-01-03 17:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704297600000,2024-01-03 16:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704294000000,2024-01-03 15:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704290400000,2024-01-03 14:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704286800000,2024-01-03 13:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704283200000,2024-01-03 12:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704279600000,2024-01-03 11:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704276000000,2024-01-03 10:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704272400000,2024-01-03 09:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704268800000,2024-01-03 08:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704265200000,2024-01-03 07:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704261600000,2024-01-03 06:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704258000000,2024-01-03 05:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704254400000,2024-01-03 04:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704250800000,2024-01-03 03:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704247200000,2024-01-03 02:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704243600000,2024-01-03 01:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704240000000,2024-01-03 00:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704236400000,2024-01-02 23:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704232800000,2024-01-02 22:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704229200000,2024-01-02 21:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704225600000,2024-01-02 20:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704222000000,2024-01-02 19:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704218400000,2024-01-02 18:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704214800000,2024-01-02 17:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
